2024-01-25 12:43:43 DEBUG caller=helper.go:51 msg=[WriteFile.start] path: dms.pid, owner: , perm: -rw-r-----
2024-01-25 12:43:43 DEBUG caller=helper.go:51 msg=[EnsureFile.start] path: dms.pid, owner: , perm: -rw-r-----
2024-01-25 12:43:43 DEBUG caller=helper.go:51 msg=[EnsureFile.end] path: dms.pid, owner: , perm: -rw-r-----, err: <nil>
2024-01-25 12:43:43 DEBUG caller=helper.go:51 msg=[WriteFile.end] path: dms.pid, owner: , perm: -rw-r-----, err: <nil>
2024-01-25 12:43:43 INFO caller=helper.go:66 dms.storage=connecting to storage, host: 10.186.56.59, port: 33063, user: root, schema: dms
2024-01-25 12:43:43 INFO caller=helper.go:61 dms.cronmanager=cron start
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:380.674µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:1.756837ms; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:1.377692ms; sql: SELECT count(*) FROM information_schema.tables WHERE table_schema = 'dms' AND table_name = 'db_services' AND table_type = 'BASE TABLE'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:112.352µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:432.755µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:272.213µs; sql: SELECT * FROM `db_services` LIMIT 1; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:1.227741ms; sql: SELECT column_name, column_default, is_nullable = 'YES', data_type, character_maximum_length, column_type, column_key, extra, column_comment, numeric_precision, numeric_scale , datetime_precision FROM information_schema.columns WHERE table_schema = 'dms' AND table_name = 'db_services' ORDER BY ORDINAL_POSITION; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:112.57µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:397.405µs; sql: SELECT SCHEMA_NAME from Information_schema.SCHEMATA where SCHEMA_NAME LIKE 'dms%' ORDER BY SCHEMA_NAME='dms' DESC,SCHEMA_NAME limit 1; rowsAffected: 1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:864.148µs; sql: SELECT count(*) FROM information_schema.statistics WHERE table_schema = 'dms' AND table_name = 'db_services' AND index_name = 'project_uid_name'; rowsAffected: -1; err: <nil>
2024-01-25 12:43:43 DEBUG caller=log_wrapper.go:214 module=gorm msg=trace: begin:2024-01-25 12:43:43; elapsed:92.03µs; sql: SELECT DATABASE(); rowsAffected: -1; err: <nil>
